user_id,name,email,roll_no,hall,home_canteen
1,test_1,test1@test.com,1,12,1
2,test_2,test2@test.com,2,12,1
3,test_3,test3@test.com,3,12,2
4,test_4,test4@test.com,4,12,1
5,test_5,test5@test.com,5,12,1
6,test_6,test6@test.com,6,12,1
7,test_7,test7@test.com,7,12,1
8,test_8,test8@test.com,8,12,1
9,test_9,test9@test.com,9,12,1
10,test_10,test10@test.com,10,12,1
11,test_11,test11@test.com,11,12,1
12,test_12,test12@test.com,12,12,1
13,test_13,test13@test.com,13,12,1
14,test_14,test14@test.com,14,12,1
15,test_15,test15@test.com,15,12,1
16,test_16,test16@test.com,16,12,1
